,ID,NOMBRE PROYECTO,DIRECCIÓN,COMUNA,LATITUD,LONGITUD,INMOBILIARIA,TIPO PROYECTO,FECHA DE ENTREGA,SUP. PROMEDIO,TOTAL UNIDADES PROYECTO,VIGENCIA,FECHA DE PROCESO,CLIMA
2185,2187,MOLLER GALVARINO GALLARDO 1815,"GALVARINO GALLARDO 1815, SANTIAGO, REGION METROPOLITANA, CHILE",PROVIDENCIA,-33.4308123,-70.6125966,INMOBILIARIA MOLLER Y PEREZ COTAPOS,DEPARTAMENTO,44986,79.0,66,1,2022-12-16,por definir
2186,2188,EDIFICIO CUVEE,"LUIS COUSIÑO 6185, SANTIAGO, REGION METROPOLITANA, CHILE",PEÑALOLEN,-33.4853236,-70.5732653,EXXACON DESARROLLOS INMOBILIARIOS,DEPARTAMENTO,45261,105.5,180,1,2022-12-16,por definir
2187,2189,SIENA CHRISTIENSEN 838,"CHRISTIENSEN 838, SANTIAGO, REGION METROPOLITANA, CHILE",LAS CONDES,-33.3948676,-70.5568775,SIENA INMOBILIARIA S.A.,DEPARTAMENTO,44986,99.5,202,1,2022-12-16,por definir
2188,2190,SIENA SANTA CRISTINA,"SANTA CRISTINA 3055, SANTIAGO, REGION METROPOLITANA, CHILE",MACUL,-33.487671399999996,-70.6009329,SIENA INMOBILIARIA S.A.,DEPARTAMENTO,44986,53.0,160,1,2022-12-16,por definir
2189,2191,JARDINES DE LA RESERVA - DEPTOS,"EL MATINAL 1090 LOTE TC, SANTIAGO, REGION METROPOLITANA, CHILE",COLINA,-33.390467699999995,-70.65218899999999,OVERLAND INMOBILIARIA,DEPARTAMENTO,44713,133.0,12,1,2022-12-16,por definir
2190,2192,JARDINES DE LA RESERVA - TOWNHOUSE,"EL MATINAL 1090 LOTE TC, SANTIAGO, REGION METROPOLITANA, CHILE",COLINA,-33.390467699999995,-70.65218899999999,OVERLAND INMOBILIARIA,CASA,45261,130.0,20,1,2022-12-16,por definir
2191,2193,EDIFICIO VIVA LAS BRISAS,"LAS BRISAS 167, SANTIAGO, REGION METROPOLITANA, CHILE",LA CISTERNA,-33.5338868,-70.6613426,INMOBILIARIA LAS BRISAS,DEPARTAMENTO,45261,37.0,105,1,2022-12-16,por definir
2192,2194,EDIFICIO EL TILO,"AMERICO VESPUCIO 6666, SANTIAGO, REGION METROPOLITANA, CHILE",LA FLORIDA,-33.5167037,-70.5932907,INMOBILIARIA FG,DEPARTAMENTO,45261,35.0,180,1,2022-12-16,por definir
2193,2195,EDIFICIO RUPANCO 120,"RUPANCO 120, SANTIAGO, REGION METROPOLITANA, CHILE",LA FLORIDA,-33.5208303,-70.6046002,INMOBILIARIA PILARES,DEPARTAMENTO,44986,41.0,106,1,2022-12-16,por definir
2194,2196,EDIFICIO VISTA PARK,"RUPANCO 395, SANTIAGO, REGION METROPOLITANA, CHILE",LA FLORIDA,-33.520582499999996,-70.6100842,FAI INMOBILIARIA,DEPARTAMENTO,45078,61.0,140,1,2022-12-16,por definir
2195,2197,EDIFICIO ROJAS MAGALLANES,"VICUÑA MACKENNA 8825, SANTIAGO, REGION METROPOLITANA, CHILE",LA FLORIDA,-33.536160599999995,-70.5926443,EMM,DEPARTAMENTO,45078,59.0,125,1,2022-12-16,por definir
2196,2198,EDIFICIO ALDERETE COOK,"FRANCISCO COOK 831, SANTIAGO, REGION METROPOLITANA, CHILE",LAS CONDES,-33.3963566,-70.5617183,ALMAGRO S.A.,DEPARTAMENTO,44986,101.0,53,1,2022-12-16,por definir
2197,2199,EDIFICIO ALICANTE 937,"ALICANTE 937, SANTIAGO, REGION METROPOLITANA, CHILE",LAS CONDES,-33.422912,-70.5818129,INMOBILIARIA MOLLER Y PEREZ COTAPOS,DEPARTAMENTO,45627,113.5,66,1,2022-12-16,por definir
2198,2200,EDIFICIO LAS CONDES 7520,"LAS CONDES 7520, SANTIAGO, REGION METROPOLITANA, CHILE",LAS CONDES,-33.4130496,-70.5145939,INMOBILIARIA COPAHUE,DEPARTAMENTO,45352,51.0,60,1,2022-12-16,por definir
2199,2201,EDIFICIO CRUSOE 1115,"ROBINSON CRUSOE 1115, SANTIAGO, REGION METROPOLITANA, CHILE",LAS CONDES,-33.4191877,-70.5561207,INMOBILIARIA PROYECCION,DEPARTAMENTO,45078,70.5,60,1,2022-12-16,por definir
2200,2202,BARRIO ALPINO,"CAMINO EL HUINGANAL 3929, SANTIAGO, REGION METROPOLITANA, CHILE",LO BARNECHEA,-33.3261785,-70.504149,ENACO S.A.,CASA,44896,138.5,75,1,2022-12-16,por definir
2201,2203,EDIFICIO CT 11540,"CAMINO TURISTICO 11540, SANTIAGO, REGION METROPOLITANA, CHILE",LO BARNECHEA,-33.3664492,-70.5248433,ALTURA,DEPARTAMENTO,45352,113.5,49,1,2022-12-16,por definir
2202,2204,EDIFICIO CIUDAD DEL ROSAL,"LA REFORMA ESQUINA LAS ARAUCARIAS, SANTIAGO, REGION METROPOLITANA, CHILE",MAIPU,-33.485480599999995,-70.76132559999999,GESPANIA,DEPARTAMENTO,45261,63.0,96,1,2022-12-16,por definir
2203,2205,EDIFICIO AVELLANOS,"NELSON 2040, SANTIAGO, REGION METROPOLITANA, CHILE",ÑUÑOA,-33.4738368,-70.6079464,SOCOVESA S.A.,DEPARTAMENTO,45261,45.0,154,1,2022-12-16,por definir
2204,2206,EDIFICIO THE PLACE,"VICUÑA MACKENNA 1290, SANTIAGO, REGION METROPOLITANA, CHILE",ÑUÑOA,-33.4582087,-70.6286951,INMOBILIARIA GRUPO COLOSO,DEPARTAMENTO,45627,42.5,483,1,2022-12-16,por definir
2205,2207,EDIFICIO GUILLERMO MANN 1305,"GUILLERMO MANN 1305, SANTIAGO, REGION METROPOLITANA, CHILE",ÑUÑOA,-33.4712011,-70.6193914,INMOBILIARIA PILARES,DEPARTAMENTO,45261,54.0,114,1,2022-12-16,por definir
2206,2208,EDIFICIO SEMINARIO 850,"SEMINARIO 850, SANTIAGO, REGION METROPOLITANA, CHILE",ÑUÑOA,-33.4528068,-70.6267702,PAZ INMOBILIARIA,DEPARTAMENTO,45352,43.0,359,1,2022-12-16,por definir
2207,2209,EDIFICIO VIVE ZAÑARTU,"ZAÑARTU 2460, SANTIAGO, REGION METROPOLITANA, CHILE",ÑUÑOA,-33.4723386,-70.60701689999999,BRICSA,DEPARTAMENTO,45261,44.5,182,1,2022-12-16,por definir
2208,2210,EDIFICIO CASTILLO URIZAR,"CASTILLO URIZAR 1845, SANTIAGO, REGION METROPOLITANA, CHILE",ÑUÑOA,-33.4719614,-70.6104095,RVC INGENIERIA Y CONSTRUCCION,DEPARTAMENTO,44986,49.0,119,1,2022-12-16,por definir
2209,2211,CONDOMINIO LANCUYEN,"LAGUNA ALTURA 3600, SANTIAGO, REGION METROPOLITANA, CHILE",PADRE HURTADO,-33.4113343,-70.73863469999999,CONSTRUCTORA SANTA HERMINIA,CASA,45078,108.5,92,1,2022-12-16,por definir
2210,2212,EDIFICIO DEL RIO,"ROBERTO DEL RIO ESQUINA ELIODORO YAÑEZ, SANTIAGO, REGION METROPOLITANA, CHILE",PROVIDENCIA,-33.4293753,-70.5998807,BRICSA,DEPARTAMENTO,45261,73.5,55,1,2022-12-16,por definir
2211,2213,EDIFICIO ANDES MIRADOR,"ELCERRO 147, SANTIAGO, REGION METROPOLITANA, CHILE",PUENTE ALTO,-33.6076561,-70.5417245,SSILVA GESTION INMOBILIARIA,DEPARTAMENTO,45108,58.5,105,1,2022-12-16,por definir
2212,2214,EDIFICIO MATTA PLUS,"MANUEL ANTONIO MATTA 1290, SANTIAGO, REGION METROPOLITANA, CHILE",QUILICURA,-33.3669821,-70.7154007,INMOBILIARIA BOETSCH,DEPARTAMENTO,45352,39.5,192,1,2022-12-16,por definir
2213,2215,CONCEPTO PARK SANTIGO,"SOLAR 2230, SANTIAGO, REGION METROPOLITANA, CHILE",SAN JOAQUIN,-33.5276473,-70.7641039,INMOBILIARIA IMAGINA,DEPARTAMENTO,45627,56.5,78,1,2022-12-16,por definir
2214,2216,EDIFICIO REY ALBERTO,"REY ALBERTO 4560, SANTIAGO, REGION METROPOLITANA, CHILE",SAN MIGUEL,-33.4951898,-70.6558591,INMOBILIARIA REY ALBERTO SPA,DEPARTAMENTO,44896,33.5,34,1,2022-12-16,por definir
